Outcome,Host,Event,"Avg effect, synth control (%)","Avg effect, factor model (%)",Placebo p-value,Factors (CV),Pre-fit RMSE,Top donors
GDP per capita,Greece,Athens Olympics 2004,-5.970947189371623,27.895844083986432,0.23,2,2.5006965867967646e-14,"Thailand (0.27), Chad (0.21), Sierra Leone (0.12), Sudan (0.11)"
GDP per capita,"Korea, Rep.",World Cup (co-host) 2002,17.43921108604439,-47.62505673519162,0.673469387755102,5,0.013896404652281294,"Thailand (0.67), Honduras (0.16), Botswana (0.10), Mozambique (0.03)"
GDP per capita,Germany,World Cup 2006,-35.152732513456755,-33.6430733595234,0.025423728813559324,4,1.1666529597009885e-13,"Myanmar (0.23), Lebanon (0.22), Chad (0.20), Tajikistan (0.11)"
GDP per capita,China,Beijing Olympics 2008,66.92015321582136,38.93109899884187,0.4745762711864407,3,0.0023880597852186033,"Myanmar (0.25), Kuwait (0.24), Albania (0.22), Honduras (0.17)"
GDP per capita,South Africa,World Cup 2010,-3.8794099259031336,-17.611143757535366,0.42016806722689076,2,3.9058835997148187e-14,"Sierra Leone (0.21), Mali (0.19), Guinea-Bissau (0.14), Zimbabwe (0.09)"
GDP per capita,India,Delhi Commonwealth Games 2010,34.31701940405633,47.45649310005427,0.4491525423728814,5,0.0011147683826620305,"Albania (0.20), Botswana (0.17), Mozambique (0.12), Trinidad and Tobago (0.11)"
GDP per capita,United Kingdom,London Olympics 2012,-20.572061249552295,-32.58563279966463,0.14285714285714285,3,1.747518120531453e-13,"Togo (0.26), Madagascar (0.16), Albania (0.15), Sierra Leone (0.09)"
GDP per capita,Brazil,World Cup + Rio Olympics 2014,-11.675950530565213,7.999484189647771,0.2184873949579832,1,3.8785961047653193e-14,"Kyrgyz Republic (0.26), Congo, Dem. Rep. (0.21), Sierra Leone (0.16), Zimbabwe (0.09)"
GDP per capita,Russian Federation,World Cup + Sochi Winter Olympics 2014,-27.578971512170412,-34.820513196707545,0.453781512605042,1,0.005100038086924405,"Myanmar (0.46), Guinea-Bissau (0.17), Indonesia (0.11), Kyrgyz Republic (0.10)"
GDP per capita,Japan,Tokyo Olympics 2021,8.62634519995471,-19.55804475301476,0.2773109243697479,2,2.357467886697936e-15,"Botswana (0.32), Oman (0.19), Kuwait (0.14), Gabon (0.11)"
GDP per capita,Qatar,World Cup 2022,-26.522352068985615,485.57256383719346,0.7394957983193278,2,0.024202690275883794,"Singapore (0.28), Chad (0.22), Zimbabwe (0.22), Myanmar (0.16)"
Tourist arrivals,China,Beijing Olympics 2008,-61.4767713319001,-58.90831207909509,0.15384615384615385,1,1.0198063405358767e-13,"Israel (0.27), Armenia (0.24), Turkiye (0.21), Azerbaijan (0.13)"
Tourist arrivals,South Africa,World Cup 2010,-45.6406192117137,78.19787197932108,0.5063291139240507,1,1.0785019099331861e-13,"Haiti (0.29), Gambia, The (0.23), Uzbekistan (0.19), Armenia (0.13)"
Tourist arrivals,India,Delhi Commonwealth Games 2010,-44.91742754551173,517.3484052148442,0.3974358974358974,1,1.3371510814280432e-14,"Armenia (0.32), Moldova (0.25), West Bank and Gaza (0.18), Uzbekistan (0.12)"
Tourist arrivals,United Kingdom,London Olympics 2012,-47.244989209220634,-36.789297904570596,0.15254237288135594,3,7.214595691958889e-14,"Zimbabwe (0.38), Gambia, The (0.22), Cambodia (0.21), West Bank and Gaza (0.08)"
Tourist arrivals,Russian Federation,World Cup + Sochi Winter Olympics 2014,21.12383417057325,91.11731548881795,0.7580645161290323,1,0.024641566325373194,"Eswatini (0.56), Finland (0.36), Puerto Rico (US) (0.07)"
